1;Adun mrembo
1;Ajali mbaya
1;Akai amefurahi
1;Aliangua kilio
1;Alifuarahi sana
1;Aliwaambia wamsubiri
1;Atakuruhusu upumzike
1;Babangu alipanda
1;Basi halikufika
1;Bi Simu
1;Firimbi imepulizwa
1;Fisi mlafi
1;Hakuangalia nyuma
1;Hakuweza kutulia
1;Hamisi abahatika
1;Hubweka sana
1;Hujui usiku
1;Hula chakula
1;Ilikuwa wapi
1;Je nitafanyaje
1;Je unavipenda
1;Jumamosi alasiri
1;Kalabushe chiriku
1;Kesho litakuja
1;Kimya kabisa
1;Kisirusiru mjinga
1;Kutekwa nyara
1;Kuwahesabu wanyama
1;Lakini hawakufaulu
1;Lakini hukataa
1;Lakini nitafanyaje
1;Lakini sikukiona
1;Lena amelala
1;Lilinguruma sana
1;Mama abadilika
1;Mamangu alipanda
1;Mamba alimsamehe
1;Mara akaondoka
1;Mbwa alitoroka
1;Mbwa hufugwa
1;Mimi ninamjua
1;Miti ilikasirika
1;Mjombake hakumjali
1;Mke Mti
1;Mwanamme mrefu
1;Mwanzoni hakufaulu
1;na ndege
1;Nahitaji kupumzika
1;Ni kizuri
1;Nilianza kulia
1;Nilikuwa golikipa
1;Nililia sana
1;Nilimkodolea macho
1;Nimechoka sasa
1;Nimefurahi sana
1;Nimeumia mguu
1;Ninaona radi
1;Ninapenda kusoma
1;Ninapunga mkono
1;Ninasikia teksi
1;Nitamsomea nani
1;Polisi wameshafika
1;Rafiki ninayemkosa
1;Rudi utuangazie
1;Siendi shule
1;Sitatazama runinga
1;Sungura mjanja
1;Trevor alimkaribisha
1;Tulianza kubishana
1;Tulifurahi sana
1;Tulirushiana maji
1;Tulitishika sana
1;Tunaenda nyumbani
1;Uko juu
1;Uko wapi
1;Unafanya nini
1;Upepo ulilala
1;Utakapousikia utanifungulia
1;Vayu upepo
1;Vitu ninavyojua
1;Walianza kubishana
1;Walikosa chakula
1;Yalienda kucheza
2;Adun aliwakataa wote
2;Akaanguka chini pu
2;Akambeba mbuzi kichwani
2;Alianza kuishi mtaani
2;Alianza kupiga mayowe
2;Alifanya vyema shuleni
2;Alijawa na woga
2;Alimfungulia mlango akaingia
2;Alimuaga tayari kurejea
2;Alipanda bustani kubwa
2;Alipanda bustani ndogo
2;Alipoamka hakuweza kuona
2;Alisombwa na maji
2;Alitembea kwa shida
2;Alizidi kuukaribia mwamba
2;Alizipenda mboga hizo
2;Alizoea kutazama picha
2;Ana simu tano
2;Anacheza na wenzake
2;Anafika shuleni mapema
2;Anaitwa Bi Simu
2;Anansi alifanya hivyo
2;Anansi na Hekima
2;Anansi na Tai
2;Anaosha uso wake
2;Anasoma kwa bidii
2;Anataka kunywa maji
2;Anatandika godorolake vizuri
2;Anawasalimu babuna nyanya
2;Anga lilianza kulalamika
2;Asubuhi barua haikuwepo
2;Atakuja nyumbani baadaye
2;Baba humkama Pendo
2;Barua kwa mama
2;Bunty na Bubbly
2;click click click
2;Demane na Demazane
2;Dereva alikasirika sana
2;Ebei alichungulia dirishani
2;Ebei alifurahi sana
2;Fahali aliogopa sana
2;Fahali na Punda
2;Fisi na Kobe
2;Fyata ulimirafiki yangu
2;Ghafla walisikia mngurumo
2;Hakujua kusoma maneno
2;Hakuwa na mke
2;Halafu akaanza kulia
2;Hata hapo sikukiona
2;Hatimaye walifikia uamuzi
2;Hii ni manyatta
2;Hii ni meli
2;Hiki ni kitanda
2;Hili ni chungwa
2;Hivi hapa inakuja
2;Huharibu nguo pia
2;Huu ni mpira
2;Huu ni mwavuli
2;Huweza kusababisha ugonjwa
2;Huwezi kujifunza chochote
2;Huyu ni jogoo
2;Huyu ni mbwa
2;Huyu ni ngamia
2;Huyu ni panya
2;Je si werevu
2;Je unafanya nini
2;Jiko langu limezimika
2;Jimbi na Sungura
2;Jongoo alilifunga bao
2;Kalabushe alikuwa chiriku
2;Kamwe usipike nyama
2;Khalai aizungumzia mimea
2;Kichwa vilevile kilianguka
2;Kila mmoja alimcheka
2;Kisha akaamka tena
2;Kisha akaanza kulia
2;Kiu chake kiliongezeka
2;Kuku alihisi kutapika
2;Kuku alikasirika sana
2;Kuku alikuwa golikipa
2;Kuku na Jongoo
2;Leo hakuna umeme
2;Leo ni likizo
2;Likamchukua Demazane haraka
2;Magozwe aliombaomba barabarani
2;Maji yote yalimwagika
2;Mama aliingia chumbani
2;Mama alijenga ua
2;Mama alirudi nyumbani
2;Mamangu ananiimbia wimbo
2;Mamba alimfukuza Mbwa
2;Mamba mwenye njaa
2;Manyoya yakaota tena
2;Mara basi likaondoka
2;Mawingu meusi yananikaribia
2;Mbingu ni samawati
2;Mbona kuna Punda
2;Mbwa aliamua kuyachukuwa
2;Mbwa na Mamba
2;Mbweha na jua
2;Meli ni kubwa
2;Meno aina gani
2;Mimi ni mnyonge
2;Mimi ninampenda Pendo
2;Mimi ninapenda kusoma
2;Mkulima haniruhusu nipumzike
2;Mmoja atakuwa wangu
2;Motto alipata peremende
2;Mpira wangu mwekundu
2;Mtoto aliyeleta amani
2;Mtu na Simba
2;Mwanamke anapita akitembea
2;Mwangaza huwa mchana
2;Mwezi na Kofia
2;Napenda vinywaji baridi
2;Nashukuru Mungu haikuniangukia
2;Nausikiliza mwili wangu
2;Ndege hawana meno
2;Ndovu alijitolea kukomesha
2;Ndovu na vyura
2;Ni kwetu nyumbani
2;Ni nani nitakayemsomea
2;Ni shati lako
2;Nilienda na Chuma
2;Niliikumbuka tiarayangu nzuri
